waterBodyCategory	eeaIndicator	countryCode	monitoringSiteIdentifier	seriesSpan	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
LW	Total phosphorus	AT	ATSE10102000	long	0.096	0.085	0.063	0.063	0.051	0.057	0.071	0.045	0.052	0.0083	0.0084	0.086	0.091	0.071	0.0578	0.065	0.042	0.035042	0.04585	0.051062	0.05175				0.0495	0.04	0.03025
LW	Total phosphorus	AT	ATSE20101000	long	0.01493	0.01553	0.01342	0.01483		0.0154	0.0131	0.015	0.008	0.012	0.013	0.013	0.01	0.012	0.012	0.038422	0.031651	0.016261	0.021534	0.014934	0.012554				0.030875	0.03933	0.038625
LW	Total phosphorus	AT	ATSE20201000	long	0.009	0.00928	0.0108	0.0118	0.0109	0.0096	0.0155	0.012	0.011	0.008	0.009	0.008	0.009	0.01	0.008		0.032914	0.008397	0.012947	0.006212	0.005929				0.011316	0.01039	0.009975
LW	Total phosphorus	AT	ATSE20301000	short							0.005	0.002	0.005	0.0025	0.0025	0.006	0.005	0.0025	0.007	0.006521	0.003665	0.007824	0.004901	0.00448	0.008018				0.007764	0.008233	0.009072
LW	Total phosphorus	AT	ATSE20401000	short							0.015	0.012	0.011	0.01	0.009	0.009	0.011	0.013	0.014	0.010906	0.009814	0.012107	0.009975	0.010786	0.011371				0.01663	0.014197	0.015412
LW	Total phosphorus	AT	ATSE20601000	short							0.007	0.006	0.007	0.007	0.008	0.007	0.005	0.006	0.008	0.009047		0.009269	0.009409	0.009537	0.009078				0.011539	0.015332	0.01595
LW	Total phosphorus	AT	ATSE20701000	short							0.009	0.008	0.007	0.009	0.007	0.008	0.007	0.008	0.008	0.119112	0.121482	0.012824	0.052484	0.010375	0.01164				0.061123	0.069134	0.080045
LW	Total phosphorus	AT	ATSE40101000	short							0.0025	0.002	0.002	0.0027	0.0025	0.003	0.002	0.003	0.002	0.001994	0.001703	0.002515	0.002715	0.002642	0.002406				0.00249	0.002323	0.002677
LW	Total phosphorus	AT	ATSE40201000	long	0.002064	0.003179	0.003906	0.002736	0.002025	0.001806	0.00231	0.002	0.002	0.0027	0.0034	0.004	0.004	0.005	0.0031	0.004379	0.004937	0.005024	0.004792	0.004237	0.004558				0.004559	0.004408	0.003895
LW	Total phosphorus	AT	ATSE40401000	short							0.01	0.009	0.009	0.01	0.011	0.013	0.008	0.008	0.0072	0.007631	0.008436	0.008584	0.007956	0.006592	0.005766				0.00851	0.007823	0.008302
LW	Total phosphorus	AT	ATSE40501000	short							0.006	0.007	0.007	0.0071	0.0079	0.011	0.008	0.008	0.0061	0.004331	0.004797	0.008353	0.006851	0.007369	0.006314				0.007379	0.008517	0.008345
LW	Total phosphorus	AT	ATSE50101000	short							0.004	0.005	0.004	0.0044	0.0043	0.004	0.004	0.004	0.0046	0.004101	0.004305	0.003636	0.002774	0.004091	0.004264				0.004103	0.004167	0.00363
LW	Total phosphorus	AT	ATSE50301000	short							0.008	0.006	0.006	0.006	0.006	0.007	0.005	0.005	0.0087	0.007327	0.005054	0.005936	0.004269	0.004731	0.005932				0.006243	0.008554	0.007557
LW	Total phosphorus	AT	ATSE50401000	short							0.017	0.015	0.016	0.0153	0.018	0.013	0.012	0.014	0.0151	0.016768	0.009089	0.020353	0.022364	0.015817	0.016582				0.036625	0.025393	0.018117
LW	Total phosphorus	AT	ATSE50501000	short							0.011	0.01	0.009	0.01	0.0103	0.01	0.009	0.008	0.0107	0.008874	0.007085	0.008431	0.008284	0.007682	0.00889				0.009468	0.009369	0.008176
LW	Total phosphorus	AT	ATSE50601000	short							0.007	0.0063	0.0065	0.0067	0.0065	0.005	0.005	0.005	0.006	0.00815	0.004979	0.004794	0.004712	0.005667	0.00522				0.004817	0.004973	0.005025
LW	Total phosphorus	AT	ATSE50701000	short							0.022	0.025	0.022	0.0217	0.0232	0.028	0.018	0.018	0.014	0.022768	0.013241	0.023932	0.033549	0.017232	0.017012				0.03375	0.035222	0.031639
LW	Total phosphorus	AT	ATSE60101000	short							0.006	0.011	0.003	0.006	0.006	0.006	0.005	0.005	0.005	0.0076		0.005984	0.008814	0.011221	0.013432				0.007917	0.0065	0.003437
LW	Total phosphorus	AT	ATSE70201000	short							0.003			0.005	0.01	0.014	0.003	0.004	0.006	0.001012	0.001915	0.001837	0.002084	0.001306	0.001342				0.002498	0.00226	0.002445
LW	Total phosphorus	AT	ATSE70301000	short							0.003			0.007	0.009	0.01	0.004	0.005	0.005	0.001415	0.003792	0.005004	0.00467	0.00206	0.002335				0.004165	0.002612	0.003084
LW	Total phosphorus	BE	BEVL_VMM_633055	short										0.2045			0.24	0.13	0.13	0.0758	0.07	0.0568	0.0568	0.0778	0.0213	0.033	0.02	0.054	0.024167		
LW	Total phosphorus	BG	BG4ME00292MS905	short												0.11	0.021	0.02	0.067	0.044	0.012			0.0745	0.0202		0.056325	0.012925	0.03475		0.0506
LW	Total phosphorus	DE	DESM_BB_HV_0110	long	0.404	0.328	0.172	0.193	0.19	0.149	0.239	0.231	0.304	0.209	0.177	0.193	0.214	0.169	0.145		0.172423	0.16468	0.125654	0.105308		0.123	0.120654	0.128808	0.119462	0.1275	0.171962
LW	Total phosphorus	DE	DESM_DEBE_345	long			0.117	0.271	0.173	0.193		0.228	0.37	0.234	0.227	0.273	0.248	0.219	0.176		0.180333		0.1534	0.109048	0.083167	0.105083	0.089833	0.107333	0.119917	0.111833	0.157917
LW	Total phosphorus	DE	DESM_DEST_420345	short					0.07	0.115	0.0863	0.0872	0.0885	0.10375	0.0908	0.09775		0.0884				0.232727				0.115	0.09833	0.102857	0.093333		0.075
LW	Total phosphorus	DE	DESM_SH_129009	short								0.07587	0.06178	0.067	0.07589	0.06589	0.05822	0.05756				0.098125				0.03669	0.04725	0.055222	0.043375		0.046286
